ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-29.6	-19.8	-12.4	36.8	-44.4	14.7	-5.0	-14.8	
-24.7	-27.1	-44.4	-2.5	-37.0	4.8	-19.8	-22.2	
-29.6	4.8	-56.7	-73.9	-54.2	-5.0	-39.4	-17.3	
-34.5	17.1	-22.2	-164.9	-66.5	-7.5	-37.0	-46.8	
-44.4	-7.5	-2.5	-66.5	-83.7	-12.4	-44.4	-39.4	
-27.1	-24.7	-32.1	-37.0	-17.3	-7.5	-39.4	-44.4	
-34.5	-27.1	-41.9	-14.8	2.4	-19.8	-44.4	-7.5	
-29.6	-5.0	-59.1	-24.7	-0.1	-29.6	-46.8	4.8	
-24.7	-37.0	-83.7	-19.8	-14.8	-32.1	-41.9	-19.8	
-9.9	-49.3	-46.8	-41.9	-29.6	-44.4	-44.4	-24.7	
4.8	-24.7	-29.6	-2.5	9.8	-34.5	-22.2	-46.8	
-7.5	-12.4	-7.5	154.9	17.1	-44.4	-14.8	-71.4	
-5.0	-56.7	-5.0	223.8	14.7	-27.1	-2.5	-32.1	
-7.5	-34.5	-9.9	167.2	9.8	-14.8	2.4	4.8	
-0.1	4.8	14.7	59.0	14.7	-14.8	2.4	29.4	
2.4	-32.1	12.2	-64.0	-9.9	-7.5	4.8	24.5	
-5.0	-39.4	4.8	-73.9	9.8	-2.5	17.1	24.5	
-22.2	-2.5	19.6	49.1	34.4	-0.1	12.2	9.8	
-19.8	17.1	17.1	-7.5	17.1	9.8	12.2	-5.0	
-34.5	2.4	19.6	-22.2	12.2	9.8	7.3	12.2	
-22.2	-7.5	31.9	-130.5	-5.0	12.2	7.3	17.1	
-29.6	-2.5	22.1	-164.9	-9.9	-5.0	-0.1	2.4	
-37.0	-22.2	-7.5	-123.1	-19.8	-7.5	-17.3	-22.2	
-41.9	-17.3	-29.6	-115.7	-29.6	-14.8	-29.6	-34.5	
-32.1	-51.7	-71.4	-103.4	-29.6	-34.5	-22.2	-19.8	
-27.1	-54.2	-66.5	-164.9	-37.0	-29.6	-34.5	9.8	
-29.6	-76.3	-86.2	-108.3	-46.8	-34.5	-49.3	-9.9	
-34.5	-69.0	-76.3	-73.9	-44.4	-37.0	-54.2	-34.5	
-22.2	-46.8	-59.1	-86.2	-34.5	-44.4	-46.8	-24.7	
-5.0	7.3	-71.4	-64.0	-17.3	-39.4	-32.1	-34.5	
-12.4	27.0	-46.8	-39.4	-2.5	-54.2	-24.7	-14.8	
-12.4	4.8	-37.0	9.8	14.7	-44.4	-7.5	-17.3	
-22.2	-0.1	4.8	-0.1	17.1	-41.9	9.8	-17.3	
-5.0	2.4	19.6	-27.1	-2.5	-27.1	-2.5	2.4	
-7.5	-17.3	29.4	-49.3	14.7	-22.2	29.4	-0.1	
-19.8	-22.2	27.0	-22.2	17.1	-0.1	14.7	2.4	
-17.3	-29.6	24.5	-34.5	14.7	-5.0	17.1	-5.0	
-19.8	-37.0	14.7	-54.2	19.6	-0.1	29.4	-9.9	
-24.7	-29.6	44.2	-56.7	12.2	9.8	4.8	-7.5	
-29.6	-7.5	36.8	-29.6	14.7	-5.0	-2.5	-9.9	
-29.6	-14.8	34.4	73.7	9.8	4.8	-5.0	-5.0	
-32.1	-24.7	19.6	172.1	7.3	4.8	-27.1	-2.5	
-32.1	14.7	7.3	201.6	-14.8	-0.1	-22.2	-9.9	
-32.1	27.0	-17.3	105.7	-9.9	-2.5	-34.5	-9.9	
-37.0	-9.9	-51.7	-27.1	-39.4	-27.1	-41.9	-29.6	
-27.1	9.8	-66.5	17.1	-27.1	-29.6	-37.0	-24.7	
