ÓÒ¹ÉÖ±¼¡	ÓÒ¹É¶þÍ·¼¡	×óëÖÇ°¼¡	ÓÒëÖÇ°¼¡	×óëè³¦¼¡	×ó¹ÉÖ±¼¡	×ó¹É¶þ	ÓÒëè³¦¼¡	
-24.7	-56.7	-49.3	-41.9	-17.3	-34.5	7.3	-37.0	
-22.2	-32.1	-24.7	-41.9	-14.8	-24.7	7.3	-32.1	
-17.3	14.7	4.8	-7.5	19.6	-17.3	12.2	-9.9	
-22.2	17.1	44.2	27.0	7.3	-5.0	4.8	-17.3	
-19.8	27.0	41.7	39.3	-9.9	-5.0	-9.9	-7.5	
-17.3	44.2	49.1	14.7	7.3	7.3	-14.8	-29.6	
-9.9	46.7	81.1	-41.9	4.8	14.7	-12.4	-27.1	
-7.5	7.3	71.3	-24.7	-0.1	22.1	-9.9	-17.3	
-29.6	-7.5	36.8	22.1	2.4	17.1	-7.5	-14.8	
-32.1	-2.5	36.8	7.3	4.8	-0.1	-7.5	4.8	
-29.6	-17.3	22.1	-9.9	4.8	-2.5	-14.8	-9.9	
-34.5	-22.2	-19.8	-17.3	-34.5	-5.0	-14.8	-0.1	
-34.5	14.7	-44.4	-105.9	-64.0	-19.8	-17.3	-2.5	
-24.7	4.8	-51.7	-32.1	-44.4	-24.7	-29.6	-5.0	
-37.0	-7.5	-59.1	39.3	-17.3	-32.1	-14.8	-17.3	
-27.1	-2.5	-83.7	66.3	-27.1	-29.6	-29.6	-7.5	
-22.2	-5.0	-100.9	78.6	-34.5	-54.2	-19.8	9.8	
-19.8	59.0	-91.1	61.4	-37.0	-46.8	-22.2	12.2	
-7.5	78.6	-73.9	-64.0	-29.6	-49.3	-24.7	-27.1	
-2.5	19.6	-56.7	-147.7	-24.7	-37.0	-37.0	-17.3	
-5.0	-27.1	-22.2	-73.9	17.1	-27.1	-46.8	-29.6	
-7.5	-49.3	2.4	-56.7	29.4	-22.2	-39.4	-37.0	
-2.5	-105.9	12.2	-51.7	4.8	-5.0	-29.6	-2.5	
-0.1	-123.1	19.6	-41.9	-5.0	2.4	-27.1	-19.8	
-19.8	-54.2	27.0	2.4	17.1	2.4	-14.8	-7.5	
-5.0	-5.0	41.7	-12.4	12.2	-5.0	-7.5	49.1	
-22.2	-2.5	46.7	66.3	-0.1	9.8	39.3	46.7	
-24.7	-14.8	39.3	86.0	-34.5	27.0	12.2	27.0	
-14.8	-29.6	46.7	68.8	-41.9	22.1	-2.5	49.1	
-14.8	-44.4	17.1	-76.3	-24.7	17.1	-12.4	-34.5	
-24.7	-37.0	-12.4	-110.8	-17.3	4.8	-14.8	-93.6	
-29.6	-19.8	-24.7	-100.9	-34.5	-0.1	31.9	-155.1	
-24.7	-27.1	-49.3	-96.0	-22.2	-7.5	34.4	-169.8	
-7.5	-27.1	-56.7	-155.1	22.1	-19.8	9.8	-98.5	
-27.1	-51.7	-73.9	17.1	9.8	-29.6	-2.5	-34.5	
-14.8	-24.7	-73.9	108.2	-17.3	-27.1	-19.8	-14.8	
-19.8	-19.8	-86.2	51.6	-0.1	-34.5	-37.0	2.4	
-12.4	-24.7	-78.8	-49.3	-19.8	-46.8	-32.1	9.8	
-14.8	-17.3	-81.3	-201.8	-22.2	-44.4	-19.8	-46.8	
